Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MIND,aparc,0.03,Node Versatility,rh_pericalcarine,0.006575148471834002,0.030128236588490488,0.023553088116656486
MIND,aparc,0.03,Node Versatility,rh_postcentral,0.004158905781928735,0.13038626968820624,0.1262273639062775
MIND,aparc,0.03,Node Versatility,rh_posteriorcingulate,0.2038182751392232,0.1825660076152292,-0.021252267523994006
MIND,aparc,0.03,Node Versatility,rh_precentral,0.09778985693005782,0.0,-0.09778985693005782
MIND,aparc,0.03,Node Versatility,rh_precuneus,0.054460931944283975,0.262979895566635,0.208518963622351
MIND,aparc,0.03,Node Versatility,rh_rostralanteriorcingulate,0.36378509414181043,0.46992848254606273,0.1061433884042523
MIND,aparc,0.03,Node Versatility,rh_rostralmiddlefrontal,0.19427506135973355,0.46997146587233596,0.2756964045126024
MIND,aparc,0.03,Node Versatility,rh_superiorfrontal,0.5447894795243418,1.0,0.45521052047565824
MIND,aparc,0.03,Node Versatility,rh_superiorparietal,0.004158905781928735,0.13038626968820624,0.1262273639062775
MIND,aparc,0.03,Node Versatility,rh_superiortemporal,0.5513589203680492,0.25510028113350985,-0.2962586392345394
MIND,aparc,0.03,Node Versatility,rh_supramarginal,0.03740956577797306,0.19854351765876863,0.16113395188079557
MIND,aparc,0.03,Node Versatility,rh_temporalpole,0.10342615648136576,0.08681338612807277,-0.01661277035329299
MIND,aparc,0.03,Node Versatility,rh_transversetemporal,0.054460931944283975,0.262979895566635,0.208518963622351
MIND,aparc,0.03,Node Strength,lh_bankssts,0.06634459425173311,0.06728555370942461,0.0009409594576915009
MIND,aparc,0.03,Node Strength,lh_caudalanteriorcingulate,0.06650950510785998,0.04990913413293722,-0.016600370974922764
MIND,aparc,0.03,Node Strength,lh_caudalmiddlefrontal,0.036945828307419465,0.03488492296451928,-0.0020609053429001822
MIND,aparc,0.03,Node Strength,lh_cuneus,0.019629763481074928,0.02481561831461597,0.005185854833541042
MIND,aparc,0.03,Node Strength,lh_entorhinal,0.04826268681302458,0.004778397842110783,-0.0434842889709138
